"[-0.00000000e+00  1.38805824e+00  6.60672861e-01  1.38957249e+00
  6.04763380e-05  1.38650088e+00  9.95479213e-01  1.38650088e+00
  6.04763380e-05  1.38957249e+00  6.60672861e-01  1.38805824e+00
 -0.00000000e+00]","[-0.00000000e+00  1.38630900e+00  1.51194508e+00  1.38653686e+00
  8.99610549e-04  1.38653101e+00  1.46671875e+00  1.38653101e+00
  8.99610549e-04  1.38653686e+00  1.51194508e+00  1.38630900e+00
 -0.00000000e+00]"
"[-0.00000000e+00  1.38917134e+00  6.32850329e-01  1.39195280e+00
  9.22852797e-05  1.38662159e+00  9.78830645e-01  1.38662159e+00
  9.22852797e-05  1.39195280e+00  6.32850329e-01  1.38917134e+00
 -0.00000000e+00]","[-0.00000000e+00  1.38631390e+00  1.50721775e+00  1.38667288e+00
  1.41983171e-03  1.38667124e+00  1.46203488e+00  1.38667124e+00
  1.41983171e-03  1.38667288e+00  1.50721775e+00  1.38631390e+00
 -0.00000000e+00]"
"[-0.00000000e+00  1.39073200e+00  5.93395290e-01  1.39568812e+00
  1.38599720e-04  1.38679844e+00  9.62147212e-01  1.38679844e+00
  1.38599720e-04  1.39568812e+00  5.93395290e-01  1.39073200e+00
 -0.00000000e+00]","[-0.          1.38632077  1.50011417  1.38687074  0.00217278  1.38687881
  1.45739807  1.38687881  0.00217278  1.38687074  1.50011417  1.38632077
 -0.        ]"
"[-0.00000000e+00  1.39275676e+00  5.39908877e-01  1.40132073e+00
  2.08182379e-04  1.38705584e+00  9.45291449e-01  1.38705584e+00
  2.08182379e-04  1.40132073e+00  5.39908877e-01  1.39275676e+00
 -0.00000000e+00]","[-0.          1.38633036  1.48821467  1.38715706  0.00324675  1.38718491
  1.45278353  1.38718491  0.00324675  1.38715706  1.48821467  1.38633036
 -0.        ]"
"[-0.00000000e+00  1.39514937e+00  4.71391038e-01  1.40944171e+00
  3.19412584e-04  1.38743436e+00  9.28002697e-01  1.38743436e+00
  3.19412584e-04  1.40944171e+00  4.71391038e-01  1.39514937e+00
 -0.00000000e+00]","[-0.          1.38634377  1.46624188  1.38757603  0.00477241  1.38764212
  1.44813903  1.38764212  0.00477241  1.38757603  1.46624188  1.38634377
 -0.        ]"
"[-0.00000000e+00  1.39766232e+00  3.89315979e-01  1.42050640e+00
  5.15635274e-04  1.38801360e+00  9.09759767e-01  1.38801360e+00
  5.15635274e-04  1.42050640e+00  3.89315979e-01  1.39766232e+00
 -0.00000000e+00]","[-0.          1.38636255  1.42229712  1.3882116   0.0069688   1.38835265
  1.44333265  1.38835265  0.0069688   1.3882116   1.42229712  1.38636255
 -0.        ]"
"[-0.00000000e+00  1.39991490e+00  2.98264475e-01  1.43438402e+00
  9.13352748e-04  1.38898829e+00  8.89357214e-01  1.38898829e+00
  9.13352748e-04  1.43438402e+00  2.98264475e-01  1.39991490e+00
 -0.00000000e+00]","[-0.          1.38638911  1.32986378  1.38925205  0.01028626  1.38955746
  1.43793063  1.38955746  0.01028626  1.38925205  1.32986378  1.38638911
 -0.        ]"
"[-0.          1.40150274  0.20558909  1.44935105  0.00188291  1.39097071
  0.86324753  1.39097071  0.00188291  1.44935105  0.20558909  1.40150274
 -0.        ]","[-0.          1.38642733  1.137778    1.39119904  0.01594827  1.39197438
  1.43006544  1.39197438  0.01594827  1.39119904  1.137778    1.38642733
 -0.        ]"
"[-0.          1.40218793  0.12024249  1.45985851  0.00491626  1.3964504
  0.81733558  1.3964504   0.00491626  1.45985851  0.12024249  1.40218793
 -0.        ]","[-0.          1.3864844   0.79116639  1.39556822  0.02858242  1.39837748
  1.40909186  1.39837748  0.02858242  1.39556822  0.79116639  1.3864844
 -0.        ]"
"[-0.          1.40211858  0.05227137  1.4525448   0.01837695  1.41767387
  0.68364608  1.41767387  0.01837695  1.4525448   0.05227137  1.40211858
 -0.        ]","[-0.          1.38657671  0.35325023  1.40577669  0.07352032  1.42195796
  1.29581019  1.42195796  0.07352032  1.40577669  0.35325023  1.38657671
 -0.        ]"
"[-0.          1.40195381  0.01372191  1.41918357  0.09881911  1.48195888
  0.3354425   1.48195888  0.09881911  1.41918357  0.01372191  1.40195381
 -0.        ]","[-0.          1.38673873  0.0748464   1.41043884  0.31166438  1.49220977
  0.76512472  1.49220977  0.31166438  1.41043884  0.0748464   1.38673873
 -0.        ]"
"[-0.          1.40211858  0.05227137  1.4525448   0.01837695  1.41767387
  0.68364608  1.41767387  0.01837695  1.4525448   0.05227137  1.40211858
 -0.        ]","[-0.          1.38657671  0.35325023  1.40577669  0.07352032  1.42195796
  1.29581019  1.42195796  0.07352032  1.40577669  0.35325023  1.38657671
 -0.        ]"
"[-0.          1.40218793  0.12024249  1.45985851  0.00491626  1.3964504
  0.81733558  1.3964504   0.00491626  1.45985851  0.12024249  1.40218793
 -0.        ]","[-0.          1.3864844   0.79116639  1.39556822  0.02858242  1.39837748
  1.40909186  1.39837748  0.02858242  1.39556822  0.79116639  1.3864844
 -0.        ]"
"[-0.          1.40150274  0.20558909  1.44935105  0.00188291  1.39097071
  0.86324753  1.39097071  0.00188291  1.44935105  0.20558909  1.40150274
 -0.        ]","[-0.          1.38642733  1.137778    1.39119904  0.01594827  1.39197438
  1.43006544  1.39197438  0.01594827  1.39119904  1.137778    1.38642733
 -0.        ]"
"[-0.00000000e+00  1.39991490e+00  2.98264475e-01  1.43438402e+00
  9.13352748e-04  1.38898829e+00  8.89357214e-01  1.38898829e+00
  9.13352748e-04  1.43438402e+00  2.98264475e-01  1.39991490e+00
 -0.00000000e+00]","[-0.          1.38638911  1.32986378  1.38925205  0.01028626  1.38955746
  1.43793063  1.38955746  0.01028626  1.38925205  1.32986378  1.38638911
 -0.        ]"
"[-0.00000000e+00  1.39766232e+00  3.89315979e-01  1.42050640e+00
  5.15635274e-04  1.38801360e+00  9.09759767e-01  1.38801360e+00
  5.15635274e-04  1.42050640e+00  3.89315979e-01  1.39766232e+00
 -0.00000000e+00]","[-0.          1.38636255  1.42229712  1.3882116   0.0069688   1.38835265
  1.44333265  1.38835265  0.0069688   1.3882116   1.42229712  1.38636255
 -0.        ]"
"[-0.00000000e+00  1.39514937e+00  4.71391038e-01  1.40944171e+00
  3.19412584e-04  1.38743436e+00  9.28002697e-01  1.38743436e+00
  3.19412584e-04  1.40944171e+00  4.71391038e-01  1.39514937e+00
 -0.00000000e+00]","[-0.          1.38634377  1.46624188  1.38757603  0.00477241  1.38764212
  1.44813903  1.38764212  0.00477241  1.38757603  1.46624188  1.38634377
 -0.        ]"
"[-0.00000000e+00  1.39275676e+00  5.39908877e-01  1.40132073e+00
  2.08182379e-04  1.38705584e+00  9.45291449e-01  1.38705584e+00
  2.08182379e-04  1.40132073e+00  5.39908877e-01  1.39275676e+00
 -0.00000000e+00]","[-0.          1.38633036  1.48821467  1.38715706  0.00324675  1.38718491
  1.45278353  1.38718491  0.00324675  1.38715706  1.48821467  1.38633036
 -0.        ]"
"[-0.00000000e+00  1.39073200e+00  5.93395290e-01  1.39568812e+00
  1.38599720e-04  1.38679844e+00  9.62147212e-01  1.38679844e+00
  1.38599720e-04  1.39568812e+00  5.93395290e-01  1.39073200e+00
 -0.00000000e+00]","[-0.          1.38632077  1.50011417  1.38687074  0.00217278  1.38687881
  1.45739807  1.38687881  0.00217278  1.38687074  1.50011417  1.38632077
 -0.        ]"
"[-0.00000000e+00  1.38917134e+00  6.32850329e-01  1.39195280e+00
  9.22852797e-05  1.38662159e+00  9.78830645e-01  1.38662159e+00
  9.22852797e-05  1.39195280e+00  6.32850329e-01  1.38917134e+00
 -0.00000000e+00]","[-0.00000000e+00  1.38631390e+00  1.50721775e+00  1.38667288e+00
  1.41983171e-03  1.38667124e+00  1.46203488e+00  1.38667124e+00
  1.41983171e-03  1.38667288e+00  1.50721775e+00  1.38631390e+00
 -0.00000000e+00]"
"[-0.00000000e+00  1.38805824e+00  6.60672861e-01  1.38957249e+00
  6.04763380e-05  1.38650088e+00  9.95479213e-01  1.38650088e+00
  6.04763380e-05  1.38957249e+00  6.60672861e-01  1.38805824e+00
 -0.00000000e+00]","[-0.00000000e+00  1.38630900e+00  1.51194508e+00  1.38653686e+00
  8.99610549e-04  1.38653101e+00  1.46671875e+00  1.38653101e+00
  8.99610549e-04  1.38653686e+00  1.51194508e+00  1.38630900e+00
 -0.00000000e+00]"
